Entreprise,Volume_Actions,Prix_MAD,Variation_Pct,Ticker,Secteur,PE_Actuel,Div_Yield_Pct,PE_2023,PE_2022,BPA_2023,BPA_2022,DPA_2023,DPA_2022,RN_2023,RN_2022,Date_Collecte
JET CONTRACTORS,14362,2630.0,-0.75,JET,équipement,11.18,0.7,11.18,25.12,22.8,8.2,7.0,0.0,68.92,24.83,2026-02-04
TGCC,39427,840.0,-0.94,TGC,équipement,16.17,1.11,16.17,16.03,11.5,7.8,7.5,6.0,362.58,245.32,2026-02-04
BCP,104677,274.85,-0.15,BCP,Banques,16.08,3.14,16.08,17.11,17.1,13.5,10.0,9.0,3475.292,749.08,2026-02-04
SMI,4599,6200.0,0.81,SMI,Matériaux,12.92,3.45,12.92,71.03,102.4,21.4,80.0,0.0,168.46,35.19,2026-02-04
CASH PLUS,82320,295.3,0.1,CAP,Financement,16.5,,16.5,19.0,,,,,,,2026-02-04
ATLANTASANAD,125188,141.0,-1.95,ATL,Assurances,1.19,3.92,1.19,18.12,106.3,6.9,5.7,5.5,437.55,413.82,2026-02-04
SGTM S.A,21009,819.0,-0.73,GTM,équipement,,,,,18.27,13.05,,,,,2026-02-04
MARSA MAROC,14317,915.0,-1.08,MSA,Transport,23.97,1.09,23.97,19.46,11.6,11.1,8.5,8.0,852.23,816.79,2026-02-04
SOTHEMA,6519,1800.0,0.0,SOT,Pharmaceutiques,26.05,1.99,26.05,35.68,36.5,37.0,17.0,25.0,262.76,266.62,2026-02-04
ALLIANCES,21967,500.0,0.0,ADI,Immobilier,10.69,0.72,10.69,6.42,10.8,8.1,3.0,0.0,238.87,178.39,2026-02-04
CMGP GROUP,27123,379.9,-0.03,CMG,Agriculture,,1.65,,,,,,,122.56,142.17,2026-02-04
CMT,3784,2400.0,1.27,CMT,Matériaux,11.55,0.94,11.55,11.99,94.4,140.1,0.0,60.0,158.63,240.69,2026-02-04
